Data Series,All Items (Per Cent),All Items -> Food (Per Cent),All Items -> Food Excl Food Serving Services (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Rice (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Flour (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Bread (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Noodles & Pasta (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Biscuits & Cookies (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Cakes & Pastries (Per Cent),All Items -> Food Excl Food Serving Services -> Bread & Cereals -> Other Cereals (Per Cent),All Items -> Food Excl Food Serving Services -> Meat (Per Cent),"All Items -> Food Excl Food Serving Services -> Meat -> Pork, Chilled (Per Cent)","All Items -> Food Excl Food Serving Services -> Meat -> Beef, Chilled (Per Cent)","All Items -> Food Excl Food Serving Services -> Meat -> Mutton, Chilled (Per Cent)","All Items -> Food Excl Food Serving Services -> Meat -> Poultry, Chilled (Per Cent)","All Items -> Food Excl Food Serving Services -> Meat -> Meat, Frozen (Per Cent)",All Items -> Food Excl Food Serving Services -> Meat -> Meat Preparations (Per Cent),All Items -> Food Excl Food Serving Services -> Fish & Seafood (Per Cent),"All Items -> Food Excl Food Serving Services -> Fish & Seafood -> Fish, Chilled (Per Cent)","All Items -> Food Excl Food Serving Services -> Fish & Seafood -> Fish, Frozen (Per Cent)",All Items -> Food Excl Food Serving Services -> Fish & Seafood -> Other Seafood (Per Cent),All Items -> Food Excl Food Serving Services -> Fish & Seafood -> Seafood Preparations (Per Cent),"All Items -> Food Excl Food Serving Services -> Milk, Cheese & Eggs (Per Cent)","All Items -> Food Excl Food Serving Services -> Milk, Cheese & Eggs -> Formula Milk Powder (Per Cent)","All Items -> Food Excl Food Serving Services -> Milk, Cheese & Eggs -> Other Milk & Dairy Products (Per Cent)","All Items -> Food Excl Food Serving Services -> Milk, Cheese & Eggs -> Eggs (Per Cent)",All Items -> Food Excl Food Serving Services -> Oils & Fats (Per Cent),All Items -> Food Excl Food Serving Services -> Oils & Fats -> Butter & Other Fats (Per Cent),All Items -> Food Excl Food Serving Services -> Oils & Fats -> Cooking Oils (Per Cent),All Items -> Food Excl Food Serving Services -> Fruits (Per Cent),"All Items -> Food Excl Food Serving Services -> Fruits -> Tropical Fruits, Fresh (Per Cent)","All Items -> Food Excl Food Serving Services -> Fruits -> Citrus, Berries & Other Fruits, Fresh (Per Cent)",All Items -> Food Excl Food Serving Services -> Fruits -> Preserved Fruits & Nuts (Per Cent),All Items -> Food Excl Food Serving Services -> Vegetables (Per Cent),"All Items -> Food Excl Food Serving Services -> Vegetables -> Leafy Vegetables, Fresh (Per Cent)","All Items -> Food Excl Food Serving Services -> Vegetables -> Fruit Vegetables, Fresh (Per Cent)","All Items -> Food Excl Food Serving Services -> Vegetables -> Root Vegetables, Fresh (Per Cent)",All Items -> Food Excl Food Serving Services -> Vegetables -> Other Vegetables & Preparations (Per Cent),"All Items -> Food Excl Food Serving Services -> Sugar, Preserves & Confectionery (Per Cent)","All Items -> Food Excl Food Serving Services -> Sugar, Preserves & Confectionery -> Sugar (Per Cent)","All Items -> Food Excl Food Serving Services -> Sugar, Preserves & Confectionery -> Confectionery & Ice-Cream (Per Cent)","All Items -> Food Excl Food Serving Services -> Sugar, Preserves & Confectionery -> Sugar Preserves & Spread (Per Cent)",All Items -> Food Excl Food Serving Services -> Non-Alcoholic Beverages (Per Cent),All Items -> Food Excl Food Serving Services -> Non-Alcoholic Beverages -> Coffee & Tea (Per Cent),All Items -> Food Excl Food Serving Services -> Non-Alcoholic Beverages -> Soft Drinks (Per Cent),All Items -> Food Excl Food Serving Services -> Non-Alcoholic Beverages -> Other Beverages (Per Cent),All Items -> Food Excl Food Serving Services -> Other Food (Per Cent),All Items -> Food Serving Services (Per Cent),All Items -> Food Serving Services -> Restaurant Food (Per Cent),All Items -> Food Serving Services -> Fast Food (Per Cent),All Items -> Food Serving Services -> Hawker Food (Per Cent),All Items -> Food Serving Services -> Hawker Food -> Hawker Centres (Per Cent),All Items -> Food Serving Services -> Hawker Food -> Food Courts & Coffee Shops (Per Cent),All Items -> Food Serving Services -> Catered Food (Per Cent),All Items -> Clothing & Footwear (Per Cent),All Items -> Clothing & Footwear -> Clothing (Per Cent),"All Items -> Clothing & Footwear -> Clothing -> Men's Clothing (Per Cent)","All Items -> Clothing & Footwear -> Clothing -> Women's Clothing (Per Cent)","All Items -> Clothing & Footwear -> Clothing -> Children's Clothing (Per Cent)",All Items -> Clothing & Footwear -> Other Articles & Related Services (Per Cent),All Items -> Clothing & Footwear -> Footwear (Per Cent),"All Items -> Clothing & Footwear -> Footwear -> Men's Footwear (Per Cent)","All Items -> Clothing & Footwear -> Footwear -> Women's Footwear (Per Cent)","All Items -> Clothing & Footwear -> Footwear -> Children's Footwear (Per Cent)",All Items -> Housing & Utilities (Per Cent),All Items -> Housing & Utilities -> Accommodation (Per Cent),All Items -> Housing & Utilities -> Utilities & Other Fuels (Per Cent),All Items -> Housing & Utilities -> Utilities & Other Fuels -> Water Supply (Per Cent),All Items -> Housing & Utilities -> Utilities & Other Fuels -> Refuse Collection (Per Cent),All Items -> Housing & Utilities -> Utilities & Other Fuels -> Electricity (Per Cent),All Items -> Housing & Utilities -> Utilities & Other Fuels -> Gas (Per Cent),All Items -> Household Durables & Services (Per Cent),All Items -> Household Durables & Services -> Household Durables (Per Cent),All Items -> Household Durables & Services -> Household Durables -> Furniture (Per Cent),All Items -> Household Durables & Services -> Household Durables -> Furnishings (Per Cent),All Items -> Household Durables & Services -> Household Durables -> Other Household Textiles (Per Cent),All Items -> Household Durables & Services -> Household Durables -> Household Appliances (Per Cent),All Items -> Household Durables & Services -> Household Durables -> Utensils & Others (Per Cent),All Items -> Household Durables & Services -> Household Services & Supplies (Per Cent),All Items -> Household Durables & Services -> Household Services & Supplies -> Non-Durable Household Goods (Per Cent),All Items -> Household Durables & Services -> Household Services & Supplies -> Domestic & Household Services (Per Cent),All Items -> Health Care (Per Cent),All Items -> Health Care -> Medicines & Health Products (Per Cent),All Items -> Health Care -> Medicines & Health Products -> Medicines & Vitamins (Per Cent),All Items -> Health Care -> Medicines & Health Products -> Medical Products (Per Cent),All Items -> Health Care -> Outpatient Services (Per Cent),All Items -> Health Care -> Outpatient Services -> Fees At Polyclinics (Per Cent),All Items -> Health Care -> Outpatient Services -> Fees At General Practitioners (GP) Clinics (Per Cent),All Items -> Health Care -> Outpatient Services -> Fees At Specialist Outpatient Clinics (Per Cent),All Items -> Health Care -> Outpatient Services -> Dental Services (Per Cent),All Items -> Health Care -> Outpatient Services -> Paramedical Services (Per Cent),All Items -> Health Care -> Hospital Services (Per Cent),All Items -> Health Care -> Health Insurance (Per Cent),All Items -> Transport (Per Cent),All Items -> Transport -> Private Transport (Per Cent),All Items -> Transport -> Private Transport -> Cars (Per Cent),All Items -> Transport -> Private Transport -> Motorcycles (Per Cent),All Items -> Transport -> Private Transport -> Petrol (Per Cent),All Items -> Transport -> Private Transport -> Other Private Transport (Per Cent),All Items -> Transport -> Public Transport (Per Cent),All Items -> Transport -> Public Transport -> Bus & Train Fares (Per Cent),All Items -> Transport -> Public Transport -> Point-To-Point Transport Services (Per Cent),All Items -> Transport -> Public Transport -> Other Public Transport (Per Cent),All Items -> Transport -> Other Transport Services (Per Cent),All Items -> Transport -> Other Transport Services -> Air Fares (Per Cent),All Items -> Transport -> Other Transport Services -> Other Transport (Per Cent),All Items -> Communication (Per Cent),All Items -> Communication -> Postage & Courier Services (Per Cent),All Items -> Communication -> Telecommunication Equipment (Per Cent),All Items -> Communication -> Telecommunication Services (Per Cent),All Items -> Recreation & Culture (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Goods (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Goods -> Information Processing Equipment (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Goods -> Audio-Visual Equipment & Others (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Goods -> Games & Toys (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Goods -> Pets & Related Products (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Goods -> Other Recreational & Cultural Goods (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Services (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Services -> Sport Services & Other Fees (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Services -> Cinema Tickets (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Services -> Charges To Places Of Interest (Per Cent),All Items -> Recreation & Culture -> Recreational & Cultural Services -> Other Recreational & Cultural Services (Per Cent),"All Items -> Recreation & Culture -> Newspapers, Books & Stationery (Per Cent)","All Items -> Recreation & Culture -> Newspapers, Books & Stationery -> Newspapers & Magazines (Per Cent)","All Items -> Recreation & Culture -> Newspapers, Books & Stationery -> Books & Stationery (Per Cent)",All Items -> Recreation & Culture -> Holiday Expenses (Per Cent),All Items -> Recreation & Culture -> Holiday Expenses -> Package Tours (Per Cent),All Items -> Recreation & Culture -> Holiday Expenses -> Hotels & Other Expenses (Per Cent),All Items -> Education (Per Cent),All Items -> Education -> Tuition & Other Fees (Per Cent),All Items -> Education -> Tuition & Other Fees -> Primary Education (Per Cent),All Items -> Education -> Tuition & Other Fees -> Secondary Education (Per Cent),"All Items -> Education -> Tuition & Other Fees -> Other General, Vocational & Higher Education (Per Cent)",All Items -> Education -> Tuition & Other Fees -> Enrichment & Supplementary Courses (Per Cent),All Items -> Education -> Textbooks & Study Guides (Per Cent),All Items -> Miscellaneous Goods & Services (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Care (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Care -> Hairdressing (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Care -> Personal Grooming Services (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Care -> Other Personal Care (Per Cent),All Items -> Miscellaneous Goods & Services -> Alcoholic Drinks & Tobacco (Per Cent),All Items -> Miscellaneous Goods & Services -> Alcoholic Drinks & Tobacco -> Spirits & Wine (Per Cent),All Items -> Miscellaneous Goods & Services -> Alcoholic Drinks & Tobacco -> Beer (Per Cent),All Items -> Miscellaneous Goods & Services -> Alcoholic Drinks & Tobacco -> Cigarettes (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Effects (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Effects -> Jewellery & Watches (Per Cent),All Items -> Miscellaneous Goods & Services -> Personal Effects -> Other Personal Effects (Per Cent),All Items -> Miscellaneous Goods & Services -> Social Services (Per Cent),All Items -> Miscellaneous Goods & Services -> Other Miscellaneous Services (Per Cent),All Items Less Imputed Rentals On Owner-Occupied Accommodation (Per Cent),All Items Less Accommodation (Per Cent)
  2020 Nov,-0.1,1.8,2.6,0.8,-3.5,-6,1.1,1.5,1.8,2.3,1.4,4.4,6.3,2.1,1.3,1.8,6,5,1.7,2.1,-1.9,-0.4,3.8,1.6,-0.7,4,-0.3,1.8,3.7,1,0.9,0.4,1.1,1.3,5.8,5.1,8.9,4.7,5.7,5.3,-1.8,6.4,3.9,3.8,2.4,3,6.3,2.2,1.3,1.4,0.9,1.4,1.7,1.3,0.6,-5.8,-5.4,-2.8,-7.6,0.4,-0.6,-8.4,-3.9,-13.3,1.4,-0.3,0.3,-4.4,0,0,-8.2,0.7,0.4,0.3,-0.6,-0.4,-3.9,1.6,1.7,0.5,1,0.4,-0.5,-1.4,-2,0.5,-1.2,-6.9,-15.7,0.7,1.1,0.6,1.2,0.1,-0.4,-1.3,2.6,25.4,-11.5,-6,3.3,7,-0.3,-3.5,-0.9,-1.3,10.7,0.8,-6.7,-3.1,1.1,-1.9,-0.1,-1.9,-2.7,1.5,0.3,1.9,0.3,0.4,2.1,-7,0.3,0.7,0,1.1,-3.5,-1.9,-7.6,-0.8,-0.8,0,0.5,-2.4,1.9,-0.1,-1.7,-0.9,0,0.2,-1.7,-0.6,-0.4,-4,0,-6.4,-3.2,-8,-2.7,0,-0.3,-0.3
  2020 Oct,-0.2,1.7,2.5,2,0.2,-5.7,1.6,1.8,4.9,2.7,1.8,4,4.9,0,5,1.8,7.1,4.6,0.2,0.2,-0.5,-3.7,5,1.3,0,4.2,-4.2,-0.1,-1.1,0.3,1,0.1,1.7,0.8,5.6,5.8,9.5,2.2,5.3,6.3,-0.9,8.1,3.1,3.4,1.3,3.4,6.1,1.6,1.3,1.2,1.2,1.4,1.6,1.3,0.6,-4.3,-4,-4.5,-4.7,0.2,-0.6,-5.9,-8,-5.2,0.8,-0.3,0.3,-4.7,0,0,-8.4,-0.7,0.7,1.4,1.8,0.8,-2.2,1.4,2.8,0.3,0.7,0.2,-1.7,-0.9,-1.3,0.2,-4,-12.2,-25.1,-0.1,-5.3,0.6,1.6,0,-0.6,-1.3,2.3,27.5,-11,-6.1,3.4,7,-0.2,-3.1,-2.3,-2.6,8.1,0.8,-1.6,-11.3,1.7,-2,-0.3,-1.4,-0.3,-1.8,0.3,1.6,-0.3,0.4,2.1,-25.6,0.3,0.7,0,1.1,-3.4,-2,-7,-0.7,-0.7,0,0.5,-2.4,2.1,-0.1,-1.3,-0.6,0,0.2,-1.1,-0.5,0.1,-3.5,0,-5.1,-2.9,-6.3,-2.7,0,-0.4,-0.4
  2020 Sep,0,1.8,3.1,1.4,0.2,-3.6,1.3,2.3,3.4,1.7,0.2,5.7,9.4,0.1,5.8,1.5,8.7,5.7,1.8,0.9,3.1,1.5,5.2,2,-0.8,5.3,-1.6,-1.7,-1.6,-1.8,2.2,2.5,2.3,1.3,5.8,6.3,9.9,2.4,4.9,7.1,0.1,8.8,3.3,3.4,-0.3,4.4,7.1,1.7,1.1,1.1,1,1.2,1.6,1.1,1.4,-4.6,-4.6,-5.8,-5.1,0.6,-0.1,-5.3,-10.1,-2.4,0.8,-0.7,0.4,-9.3,0,0,-15.7,-6.2,0.7,1,1.4,0.1,-1,0.7,2.7,0.5,3.2,0.1,-2,-1,-1.4,0.5,-4.3,-12.8,-26,-0.5,-5.6,0.8,1,0,0.5,-0.1,4.2,27.5,-10.6,-6.4,3.4,7,-0.2,-2.8,-0.4,-0.7,8.1,2,5,-2.9,2.3,-1.2,0.7,-0.6,0.3,1.7,1.2,1.2,-0.6,-0.5,2.1,-11.4,-0.3,0.6,0,0.9,-2.1,-0.6,-6.2,-0.3,-0.3,0,0.5,-2.3,3.6,0.7,-1.4,-0.1,-0.1,0.7,-0.4,-1.5,-2.9,-7.3,0,-6,-0.9,-8.6,-2.9,0,-0.1,-0.1
  2020 Aug,-0.4,1.8,3.3,2.2,3.1,-1.6,0.6,1.6,5.7,2.6,-0.2,5.9,9.9,2.1,8.8,0.2,8.2,6.3,0.8,0.1,-6.2,0.4,5.2,2.4,0,4.5,1.5,3.4,0.6,4.6,1.2,3.6,-0.4,1.3,5.2,5.3,7.2,3,5.6,7.4,1.2,9.6,1.6,5.3,3.8,6,6.6,3,1.2,1.2,1,1.1,1.5,1,1.4,-3.3,-2.3,-4.1,-1.6,-1.9,1.3,-7,-8.4,-6.8,-1.4,-0.7,0.4,-9.6,0,0,-16.1,-6.2,0.3,0.2,0.6,0.8,-0.8,-0.7,2.3,0.3,1.4,0.1,-1.9,-0.8,-1.4,1.2,-4.3,-12.8,-26.1,-0.5,-5.6,0.9,0.9,0,-1.5,-2.3,0.4,23.6,-10,-6.3,3.4,7,-0.1,-3.7,-3.7,-4.2,9.2,1.9,5,4.8,1.7,-1.4,-0.1,0.8,-3,-0.4,0.3,1.2,-0.4,-0.6,2.1,-7.2,-0.1,0.6,0,1,-2.5,-0.9,-6.5,-0.7,-0.7,0,0.5,-2.6,2.7,0.7,-1.9,-0.7,-0.1,0.7,-1.5,-1.2,-2.7,-5.4,0,-7.2,-1,-10.3,-2.9,0,-0.6,-0.6
  2020 Jul,-0.4,2.2,4,3.2,3.7,0.9,2.4,2.8,7.9,2.7,0.7,7.2,10.2,5.8,13.7,1.5,9.7,7.3,0,-0.9,0.8,-1.6,5.1,3.4,0.3,5.5,4.5,3.2,1.1,4,4.4,5,4.8,1.9,5.2,3.5,7.8,4.7,6.4,7.1,0.4,8.9,3.2,4.5,0.9,5.7,7.9,2.8,1.3,1.3,1.3,1.3,1.8,1.1,1.4,-4.1,-2.9,-2.3,-3.2,-3.2,-1.1,-8.3,-8.1,-9.4,-3.4,-0.8,0.4,-10,0,0,-16.7,-6.7,0.2,0,-0.5,3.7,-0.2,-0.9,2.1,0.3,1.3,0.2,-1.9,-0.9,-1.5,1.1,-4.3,-12.8,-26.3,-0.4,-5.4,0.9,1.1,0,-1.4,-2.1,0.9,30.8,-10,-6.6,2.5,7,-2.3,-3.1,-3,-3.5,10.7,1.4,5,6.7,1.1,-2.3,-1.4,1.5,-9.7,-1.1,1.5,0.6,-0.8,-1,2.1,-13.5,-0.1,0.1,0,0.1,-3.3,-1.6,-7.7,-0.7,-0.7,0,0.5,-2.5,2.6,0.8,-1.7,-0.5,-0.1,0.5,-1,-1,-4.4,-2.3,0,-6.9,-1.4,-9.7,-2.9,0,-0.6,-0.6
  2020 Jun,-0.5,2.3,4.4,3,2.1,1.9,2.4,3.8,5.5,3.3,0.9,8.2,11.5,3.8,13.5,1.7,14.5,8.5,-0.2,-0.3,5,-3.6,3.5,4.1,0.5,6.3,5.6,8.7,3.1,10.9,4.1,3.4,5,2.5,5.7,2.3,7.8,7,8.3,7.5,2.3,9.1,3.6,6.9,2.7,11.3,8.2,1.6,1.3,1.4,1.6,1.2,1.5,1.1,2.2,-3.2,-3.4,-3.1,-3.6,-2.7,-0.5,-3.1,-5.2,-2.1,1.2,0.2,0.5,-2.5,0,0,-3.9,-3.8,0,-0.7,-0.6,-2.2,-0.5,-1.4,1.9,0.4,2,0.2,-1.7,-1,-1.5,0.5,-4.2,-12.8,-26.5,-0.2,-6,1.2,1.9,0,-3.1,-4.4,-2.2,10.4,-10.9,-6.3,2.4,7,-2.6,-3.2,-4,-4.5,9.9,0,5,-2.6,0.2,-2.9,-1.6,-0.3,-10.1,0.3,0.7,1,-0.3,-0.7,5.2,-13.7,-0.1,0.7,0,1.1,-4.7,-3.3,-8.2,-0.6,-0.6,0,0.5,-2.5,2.8,0.6,-1.9,-0.8,-0.1,0.9,-1.7,-1.4,-3.7,-4.8,-0.2,-6.9,-3.1,-8.9,-2.9,0,-0.8,-0.8
  2020 May,-0.8,2.2,4,3.2,4.1,0.6,2.1,3.8,5.4,2.7,4.5,9.1,12.3,6.5,17.2,2.6,14.5,8.7,0.1,-0.9,4.4,-2.1,5.6,4.2,0.6,6.8,4.5,6.8,1.8,8.8,1.5,-0.1,2.8,0.3,4.4,-1.9,6,9.6,9.3,7.7,3.7,8.9,4.8,5,1.5,7.7,6.8,1.1,1.4,1.6,1.6,1.2,1.4,1.2,2.2,-4.4,-5.3,-5.4,-4.5,-8.8,-2.2,-2,-2.7,-1.9,0.6,0.1,0.5,-3,0,0,-4.7,-4,-0.4,-1.4,-1.5,-4.2,1.1,-2.1,1.4,0.3,1.2,0.2,-1.9,-2.2,-2.6,-0.8,-4.2,-12.8,-26.3,-0.1,-5.9,1.3,1.7,0,-4.8,-6.8,-5.4,8,-12.6,-7.2,2.3,7,-2.7,-3.6,-3,-3.4,9,-0.5,5,-8.8,0.1,-2,-1.7,-0.9,-10.2,0.9,0.5,0.9,-0.3,-0.9,5.2,-10.5,0,0.8,0,1.4,-3,-2.1,-5.6,-0.6,-0.6,0,0.5,-2.5,2.8,0.6,-1.4,0.1,-0.1,0.9,-0.2,-0.8,-2.2,-2.3,-0.2,-7,-3.1,-9,-2.9,0,-1.1,-1.2
  2020 Apr,-0.7,2.1,3.5,2.3,5.4,-2.3,0.7,3,4.1,2,-0.9,7.3,10.3,5.7,15.1,1.6,9.6,7.5,2.2,3.9,2.2,-1.1,0.6,5,1.9,6.9,6.4,4.9,-0.6,7.1,0.2,6.2,-3.8,0.6,4.9,1.9,2.6,11.6,6.5,4.4,1.4,5.3,2.8,3,0,5.6,4.4,-0.3,1.5,1.7,1.6,1.3,1.7,1.2,2.2,-3.2,-3,-5.8,-1.3,-5.1,-0.9,-4.4,-5.8,-3.7,-1.2,0.1,0.5,-3.4,0,0,-5.6,-2.7,-0.2,-0.9,0.2,-0.2,0.2,-2.6,0.5,0.3,0.8,0.2,-1.8,-1,-1.2,-0.2,-4.4,-12.8,-26.2,-0.4,-6.4,1.2,1.8,0,-4,-5.5,-4.8,6.1,-8.2,-6,2.7,7,-1.8,-3.3,-5,-5.2,1.3,-0.6,5,-10.1,0.1,-2.8,-1.1,-0.1,-8.1,1.2,0.3,0.5,-0.3,-1,5.2,-10.1,0,0.9,0,1.4,-4.6,-2.1,-10.9,-0.6,-0.6,0,0.5,-2.4,2.8,0.6,-0.9,0.8,-0.1,0.9,0.9,-0.8,-1.5,-3.1,-0.2,-5.9,-2.9,-7.4,-2.9,0,-1,-1.1
  2020 Mar,0,1.5,1.6,2,3,-4.4,0.5,1.1,6.5,2.2,1.2,4.5,7.4,4.3,13.8,1.4,4.6,2.3,0.5,1.5,-0.3,-0.9,-1.1,-0.4,1.1,0.6,-6.3,-2,-0.9,-2.5,0.2,4.9,-2.4,-1.8,3.5,2.6,-0.3,8.2,4,-0.1,-0.3,-0.3,0.6,0.9,-0.5,3.7,0,-0.5,1.5,1.7,1.7,1.4,1.7,1.3,2.2,-2.8,-2.2,-3.5,-1.7,-1.8,0.1,-5.3,-5,-6.2,-0.8,-0.1,0.5,-4.1,0,0,-6.5,-4.3,0.5,-0.4,1.8,-0.2,0.3,-2.6,0.8,1,0.9,1,-1.8,-1.3,-1.9,0.4,-4.3,-12.8,-26.3,-0.3,-6.3,1.4,1.8,0,0.1,-0.3,0.5,6.1,-2.4,-1.2,2.5,7,-2.6,-1.7,-1.8,-1.9,0.1,-0.2,5,2.6,-0.4,-1.8,-1,-1,-9.8,2.6,0.4,2,-0.4,-1,6.9,-15.5,0,-0.2,0,-0.3,-2.8,-0.1,-9.6,-0.5,-0.5,0,0,-2.3,2.7,0.6,-0.2,1.2,-0.1,0.9,1.7,-1.4,-3.7,-5,-0.2,-2.9,0.5,-4.7,-2.9,0,-0.1,-0.2
  2020 Feb,0.3,1.6,1.8,1.8,5.5,0,0.1,1.8,1.8,1.7,0,3.2,4.7,5.1,10,1,1.8,2.4,0.6,0.4,0.6,1.6,0.3,-1.7,-0.8,-0.2,-7.7,-0.8,-1,-0.8,2,5.7,-0.2,0.6,3.8,3.6,2.1,6.2,3.5,4.3,3.9,5.1,1.7,3.3,-0.1,11,0.9,0.6,1.6,2,1.6,1.2,1.8,1.1,2.2,-2.7,-2.5,-3.6,-1.8,-3.6,-2.8,-3.3,-4.3,-2.7,-2.2,-0.2,0.4,-4.9,0,0,-8,-4.3,0.4,-0.3,1,0,0.2,-2,1,0.9,-0.2,1.1,-1.5,-2.2,-2.8,-0.3,-3.2,-9,-16.5,-0.5,-6.5,1.4,1.8,0,1.7,2.4,2.3,4.5,4.8,0.8,4.4,7,2.2,-2,-7.2,-7.3,-2.4,1.1,5,3.9,0.9,-1.5,-2.3,-1.9,-13.3,2,-0.2,1.9,0.3,-0.9,6.9,2.8,0,0,0,0,-2.3,-0.3,-7.2,-0.5,-0.6,0,0,-2.3,2.7,0.6,0,0.9,-0.1,0.9,1.1,-1.4,-4.9,-3.7,-0.2,-0.4,0.5,-0.9,-3.3,0,0.3,0.3
  2020 Jan,0.8,1.7,1.8,0.6,0.8,0.7,-0.7,-0.9,2.2,1.5,0.9,3,5.4,4.9,16.1,0.6,0.6,0.7,4,3.4,-4.5,10.9,-1.5,-0.7,-0.5,0.7,-5.4,-2.3,-2.9,-2.1,2.9,6,1.6,-0.2,4.1,5.6,4.5,3.6,2.1,-0.8,-0.6,-0.9,-0.4,-1.1,-2.8,0.7,-0.6,-1.3,1.6,2.1,2,1.2,1.8,1,2.9,-3.8,-4.9,-7.6,-4,-2.9,-2.5,-0.5,-1.3,0.5,-2.2,-0.4,0.3,-5.4,0,0,-8.5,-5.8,0.4,-0.3,1.3,0.4,0.7,-2.4,0.8,0.9,-1,1.2,-1.3,-3.5,-4.4,-0.7,-2.4,-6.3,-10.9,-0.3,-6.6,1.6,1.9,0,4.2,4.6,5.6,7.6,7.1,0.1,4.2,7,0.1,6.3,1.2,1.2,1.1,0.7,5,5.5,0.3,0.5,-1.8,-3.2,-9,1.8,-1.3,1.7,0.4,-0.9,6.9,3.7,0,-0.1,0,-0.1,1.2,3.5,-4.5,-0.6,-0.6,0,0,-2.4,2.6,0.6,-0.2,0.6,-0.1,0.9,0.8,-1.1,-3.6,-1.8,-0.4,-0.9,0.6,-1.6,-3.3,0,0.9,1
  2019 Dec,0.8,1.7,1.4,1.5,4.2,-0.5,0.8,0.7,2.3,1.6,-2.2,0.9,1.6,2.7,6.2,0.4,-0.6,0,2.3,2.8,-3.2,3.6,0.3,-0.5,-0.7,0.4,-3.1,0.1,0.8,-0.3,1.5,2.7,1.1,0,3.5,5,3.6,3,1.7,0.4,1.5,-0.4,2.7,1.5,-1.2,3.6,2.6,-1.1,1.8,2,2.3,1.5,na,na,6.3,-1.7,-2.2,-1.6,-2.6,-1.7,-3.4,0.1,-1.5,1.3,0,-1.1,-0.1,-7.6,0,0,-12.5,-4.9,0.6,-0.6,0.6,2.7,0,-2.4,-0.3,1.3,-1.1,1.7,-0.6,-1.6,-2.5,1.5,-1.6,-6.2,-10.2,1.1,-6.3,1.8,1.7,0.1,3.1,3.3,4.1,0.5,6.2,0.5,3.3,4.9,1.4,1.2,-1,-1.1,1.7,1.2,-0.6,4.4,1,0.1,-2.7,-1.9,-11.9,0.1,-0.5,1.7,0.7,0.7,4.4,-1.5,-0.4,-0.1,0.2,-0.4,0.1,0.9,-1.5,2.3,2.3,0,-0.2,1.9,3.9,-0.1,0.3,0.8,1.4,0.9,0.5,-0.6,-1.7,-1.1,-0.2,0,1.4,-0.5,-0.1,0,0.9,1
  2019 Nov,0.6,1.6,1.3,1.4,4.1,-2.2,0,0.1,1.9,1.7,0,0.8,-0.1,3.1,6.5,1.1,-1,1.3,1.4,1.5,-1.2,1,1.8,0.2,0.2,0.1,0.9,-1.9,-0.6,-2.6,2.2,5.1,1.2,-1,2.2,1.9,2.5,3.4,1,1.4,2,1.2,2.2,2.2,-1.1,7.9,0.8,-0.9,1.7,1.9,2.3,1.5,na,na,6.3,-1.1,-1.6,-2.6,-0.8,-3.3,-0.7,0.5,-1.3,2.1,0,-1.3,-0.3,-7.9,0,0,-13,-4.9,0.5,-0.8,1,2.7,-0.5,-2.6,-1.1,1.3,-0.7,1.7,0.1,0.9,1,0.5,-1.4,-5.6,-9.6,1.2,-6.3,1.9,1.9,0.1,2.2,2.5,4.3,14.2,0.9,0.8,2.5,4.4,0,0.7,-1.4,-1.4,-1.6,0.8,-0.4,2.3,0.6,0.9,-0.9,2.8,-11.1,2.5,0,1.7,0.8,0.8,4.4,0.4,-0.4,0.2,0.2,0.2,1.6,2.3,-0.9,2.1,2.1,0,-0.2,1.9,3.1,-0.1,0.3,0.7,1.4,0.9,0.4,-0.7,-3.4,-0.4,-0.2,0.4,1.3,0,-0.1,0,0.8,0.9
